uid	name	q	description	common_name	last_updated	family	short_description
219	Buenoa dactylis	provide a complete scientific and natural history summary of Buenoa dactylis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	An aquatic backswimmer in the family notonectidae, Buenoa dactylis is adapted to freshwater habitats where it swims upside-down and preys on small aquatic organisms. Its body is streamlined and equipped with natatorial legs for efficient swimming and ambush hunting.	Dactylis backswimmer	2025-07-09 19:57:28	Notonectidae	An aquatic backswimmer in the family Notonectidae, Buenoa dactylis is adapted to freshwater habitats where it swims upside-down and preys on small aquatic organisms

220	Buenoa scimitra	provide a complete scientific and natural history summary of Buenoa scimitra, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	An aquatic hemipteran known as a backswimmer, this species inhabits warm, stagnant or slow-flowing freshwater habitats such as ponds and ditches across north and central america. Buenoa scimitra swims upside-down using fringed hind legs and captures prey with piercing-sucking mouthparts. It primarily feeds on mosquito larvae and other aquatic insects. Adults are air-breathers and carry air bubbles under their wings while submerged.	Scimitar backswimmer	2025-07-09 19:57:28	Notonectidae	An aquatic hemipteran known as a backswimmer, this species inhabits warm, stagnant or slow-flowing freshwater habitats such as ponds and ditches across North and Central America

221	Buthus occitanus	provide a complete scientific and natural history summary of Buthus occitanus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Buthus occitanus, the common yellow scorpion, inhabits the mediterranean region. It is venomous but rarely dangerous to humans and is found in dry, stony habitats where it preys on insects and small arthropods.	Common yellow scorpion	2025-07-09 19:57:28	Buthidae	Venomous but rarely dangerous to humans and is found in dry, stony habitats where it preys on insects and small arthropods.

222	Byrsotria fumigata	provide a complete scientific and natural history summary of Byrsotria fumigata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Byrsotria fumigata, the cuban cockroach, is a tropical species known for its greenish coloration and ability to fly. It lives outdoors and feeds on plant material, posing little risk as a household pest.	Cuban burrowing cockroach	2025-07-09 19:57:28	Blaberidae	The Cuban cockroach, is a tropical species known for its greenish coloration and ability to fly

223	Caecilius fuscopterus	provide a complete scientific and natural history summary of Caecilius fuscopterus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Caecilius fuscopterus is a barklouse found in europe, including great britain and ireland. It is typically associated with tree bark where it feeds on algae, lichens, and detritus, contributing to microhabitat health.	Fuscopterous barklouse	2025-07-09 19:57:28	Caeciliusidae	Barklouse found in Europe, including Great Britain and Ireland

224	Caenis simulans	provide a complete scientific and natural history summary of Caenis simulans, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Caenis simulans is a tiny mayfly species in the family caenidae, often found in north america, including british columbia. Adults are very small (1 5 mm) and short-lived, while larvae dwell in silty freshwater habitats such as ponds and marshes. The larvae have operculate square-shaped gills and feed on plant debris and organic material. They undergo incomplete metamorphosis, emerging in synchrony during favorable conditions. This species plays a vital role in freshwater ecosystems by contributing to organic matter breakdown and serving as prey for aquatic predators.	Angler's curse	2025-07-21 17:42:15	Caenidae	Adults are very small (1 5 mm) and short-lived, while larvae dwell in silty freshwater habitats such as ponds and marshes.

225	Caenocholax fenyesi	provide a complete scientific and natural history summary of Caenocholax fenyesi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Caenocholax fenyesi is a highly specialized endoparasitic insect in the order strepsiptera, known for its extreme sexual dimorphism. Females are neotenic and remain embedded within their orthopteran hosts (typically crickets or katydids), while males develop into free-living, short-lived winged adults. Males emerge to locate and inseminate embedded females using a unique traumatic insemination process. Larvae, known as triungulins, exit the female and actively seek new hosts. The species has been studied for its parasitic adaptations, life cycle complexity, and developmental biology. C. Fenyesi plays a subtle ecological role by regulating host populations and has contributed to understanding insect reproductive evolution.	Fenyes's stylops	2025-07-21 18:06:12	Myrmecolacidae	Females are neotenic and remain embedded within their orthopteran hosts (typically crickets or katydids), while males develop into free-living, short-lived winged adults.
